EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
66.625,-16.875,-10.375,-0.823120117,-0.154418945,-0.075378418,0.54119873,-3.09,-0.11,-1.36,-2.85,1.69,9.22,0.263014323,-0.034407804,0.053122096,1,Push
69.6875,-19.9375,-10.0625,-0.805053711,-0.168151855,-0.094665527,0.560913086,-2.4,0.31,-1.49,-3.34,1.61,9.07,-0.084947929,-0.013800109,-0.069124873,1,Push
70.25,-19.5625,-11,-0.802185059,-0.173339844,-0.086853027,0.564697266,-0.87,0,-0.91,-3.28,1.76,9.06,-0.201634858,0.008174555,-0.165578991,1,Push
69.625,-18.5,-11.625,-0.806091309,-0.172363281,-0.077270508,0.560852051,-1.03,0.12,-0.28,-3.11,1.87,9.1,-0.273785819,-0.002508503,-0.206426568,1,Push
69.125,-17.375,-13.5,-0.808288574,-0.180175781,-0.060668945,0.557250977,-1.15,0.35,-0.17,-2.93,2.19,9.09,-0.360746583,0.008965071,-0.212026289,1,Push
67.6875,-14.25,-15.5,-0.816467285,-0.179443359,-0.030517578,0.547973633,-1.1,0.46,0.62,-2.41,2.54,9.15,-0.431509999,0.050228257,-0.178751866,1,Push
66.625,-10.75,-17.4375,-0.82220459,-0.177429199,0.002685547,0.540771484,0.35,0.25,-0.05,-1.83,2.88,9.18,-0.418571616,0.072070038,-0.137294651,1,Push
65.875,-8.1875,-18.625,-0.825927734,-0.174499512,0.026489258,0.535400391,0.01,-0.03,0.18,-1.4,3.1,9.19,-0.357457635,0.074495471,-0.13003931,1,Push
66.125,-5.375,-20.1875,-0.823913574,-0.172790527,0.055419922,0.536865234,1.06,0.24,0.26,-0.92,3.37,9.16,-0.266342656,0.11253765,-0.021409932,1,Push
66.25,-3.375,-21.5,-0.82208252,-0.172668457,0.076782227,0.53704834,1.44,-0.93,-0.67,-0.58,3.59,9.1,-0.148380317,0.072705746,-0.090844156,1,Push
66.375,-3.5,-24,-0.817749023,-0.192626953,0.087097168,0.535339355,1.23,-0.88,-0.16,-0.62,4,8.93,-0.015039763,-0.009047515,-0.139036405,1,Push
67.1875,-4.8125,-24.9375,-0.811889648,-0.203369141,0.081359863,0.541137695,1.52,-0.17,0.37,-0.86,4.1,8.86,0.130925169,-0.065652009,-0.131621331,1,Push
67.9375,-6.0625,-23.5625,-0.81072998,-0.198120117,0.068054199,0.546691895,0.77,0.3,0.45,-1.04,3.88,8.94,0.238583104,-0.074422809,-0.053000256,1,Push
67.6875,-5.75,-22.125,-0.813781738,-0.187561035,0.06439209,0.546325684,0.35,0.42,-0.1,-0.97,3.66,9.04,0.260742448,-0.041820264,-0.024349672,1,Push
67.125,-5.125,-22.125,-0.816650391,-0.185180664,0.067749023,0.542419434,0.04,0.49,-0.47,-0.87,3.69,9.04,0.25159092,0.00385957,-0.031373643,0,Relax
66.4375,-4.9375,-22.125,-0.82019043,-0.184509277,0.068115234,0.53717041,-0.01,-0.43,-0.56,-0.84,3.7,9.04,0.223002757,0.013470232,-0.050074245,0,Relax
66,-5.375,-23.125,-0.820495605,-0.193664551,0.068786621,0.53338623,0.4,-0.08,0.36,-0.92,3.84,8.97,0.255426834,-0.007520879,-0.066141622,0,Relax
64.75,-5.1875,-23.375,-0.82598877,-0.195678711,0.069335938,0.524047852,0.16,-0.13,0.42,-0.87,3.88,8.96,0.266629951,-0.024474384,-0.037875627,0,Relax
63.8125,-4.1875,-23.4375,-0.830383301,-0.192138672,0.075500488,0.51751709,0.33,0,-0.15,-0.7,3.89,8.97,0.268854447,-0.025675637,-0.023641594,0,Relax
62.875,-3.1875,-23.5,-0.834777832,-0.188720703,0.081665039,0.510803223,-0.09,-0.09,0.01,-0.54,3.91,8.97,0.271796166,-0.017751764,-0.026484808,0,Relax
