Timestamp,EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,TemperatureInCelcius,SystemCalibration,GyroCalibration,AccelerometerCalibration,MagnotometerCalibration,BatteryLevel,Received,Skipped,DateTime,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName,Bad
1565046,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.05,0.02,0.03,3.52,8.96,-1.84,29,1,3,3,2,0,40,466,2016-08-23 12:08:04.764,-0.0178994366962198,0.00772791816221995,0.0165571189688102,0,Relax,
1565056,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0.04,-0.01,3.52,8.96,-1.84,29,1,3,3,2,0,40,467,2016-08-23 12:08:04.764,-0.0176873395127387,0.00789387857140885,0.0160661333739661,0,Relax,
1565066,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0,0,3.52,8.96,-1.84,29,1,3,3,2,0,40,468,2016-08-23 12:08:04.764,-0.017477502815175,0.0076568091785518,0.0156792027070963,0,Relax,
1565076,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,0,0.03,3.52,8.96,-1.84,29,1,3,3,2,0,40,469,2016-08-23 12:08:04.764,-0.0171707153010992,0.00742052513265905,0.0155950066935608,0,Relax,
1565086,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.05,0.01,0.04,3.52,8.96,-1.84,29,1,3,3,2,0,40,470,2016-08-23 12:08:04.764,-0.0170682617245937,0.00728682250699575,0.015610831660093,0,Relax,
1565096,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,0.01,0.05,3.52,8.96,-1.84,29,1,3,3,2,0,40,471,2016-08-23 12:08:04.764,-0.0167689204159707,0.00715598839446077,0.0157241775017926,0,Relax,
1565106,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,0.03,0,3.52,8.96,-1.84,29,1,3,3,2,0,40,472,2016-08-23 12:08:04.764,-0.0164740758138908,0.00722820845248847,0.0153359566142836,0,Relax,
1565116,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0.03,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,473,2016-08-23 12:08:04.764,-0.0162833054348214,0.00730066741022603,0.0151508768312122,0,Relax,
1565126,13,21.0625,-101.5625,-0.63311767578125,-0.68048095703125,0.3616943359375,0.0723876953125,-0.04,0.04,0.05,3.52,8.96,-1.84,29,1,3,3,2,0,40,474,2016-08-23 12:08:04.764,-0.0160946889076473,0.0074717640731749,0.0152683224470561,0,Relax,
1565806,13,21,-101.5625,-0.6331787109375,-0.68060302734375,0.361328125,0.07232666015625,-0.07,0,0.03,3.52,8.96,-1.84,29,1,3,3,2,0,50,532,2016-08-23 12:08:04.907,-0.00598439368503638,0.00216666495253145,0.00863903178372913,0,Relax,
1565906,13,21,-101.5625,-0.6331787109375,-0.68060302734375,0.361328125,0.07232666015625,-0.03,0,-0.02,3.52,8.96,-1.84,29,1,3,3,2,0,60,532,2016-08-23 12:08:05.007,-0.0037621617612245,0.00125915083616653,0.00805063277780122,0,Relax,
1566006,13,21,-101.5625,-0.63311767578125,-0.6806640625,0.36138916015625,0.07232666015625,0,0,-0.02,3.52,8.96,-1.84,29,1,3,3,2,0,70,532,2016-08-23 12:08:05.107,-0.00256403310664337,0.000336485392273977,0.00858428458175828,0,Relax,
1566106,13,21,-101.5625,-0.63311767578125,-0.6806640625,0.36138916015625,0.07232666015625,-0.04,0,0.01,3.52,8.96,-1.84,29,1,3,3,2,0,80,532,2016-08-23 12:08:05.207,-0.000102999595975152,-0.000816753884707152,0.00930873220144238,0,Relax,
1566206,13,21,-101.5625,-0.63311767578125,-0.6806640625,0.36138916015625,0.07232666015625,-0.02,-0.01,0.01,3.52,8.96,-1.84,29,1,3,3,2,0,90,532,2016-08-23 12:08:05.307,0.0012393910240729,-0.001873974711536,0.00988550122659968,0,Relax,
1566316,13,21,-101.5625,-0.633056640625,-0.6807861328125,0.36138916015625,0.072265625,-0.06,0,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,100,533,2016-08-23 12:08:05.409,0.00183491344091634,-0.00261750625634962,0.00907763479027356,0,Relax,
1566426,13,21,-101.625,-0.6328125,-0.68096923828125,0.36138916015625,0.0721435546875,-0.04,0,0.04,3.52,8.96,-1.85,29,1,3,3,2,0,110,534,2016-08-23 12:08:05.518,0.00510892395472319,-0.00311449613610222,0.0103448203080089,0,Relax,
1566526,13,21,-101.625,-0.63275146484375,-0.68109130859375,0.36138916015625,0.07208251953125,-0.03,0.01,0.04,3.52,8.96,-1.85,29,1,3,3,2,0,120,534,2016-08-23 12:08:05.618,0.0062352093071316,-0.00317148363776583,0.00949960670162798,0,Relax,
1566626,13,21,-101.625,-0.63275146484375,-0.68109130859375,0.36138916015625,0.07208251953125,-0.03,0,0.06,3.52,8.96,-1.85,29,1,3,3,2,0,130,534,2016-08-23 12:08:05.718,0.00675863554209469,-0.00379421282860442,0.00957436363699845,0,Relax,
1566726,13,21,-101.625,-0.63275146484375,-0.68109130859375,0.36138916015625,0.07208251953125,-0.04,0.01,0.04,3.52,8.96,-1.85,29,1,3,3,2,0,140,534,2016-08-23 12:08:05.818,0.00812846507896076,-0.00420249869532767,0.00972231111389585,0,Relax,
1566826,12.9375,21,-101.625,-0.6328125,-0.68109130859375,0.3612060546875,0.07196044921875,-0.07,0,0.13,3.52,8.96,-1.85,29,1,3,3,2,0,150,534,2016-08-23 12:08:05.918,0.00906613039549484,-0.00435092065971173,0.00900634527419657,0,Relax,
1566926,12.9375,21,-101.75,-0.63226318359375,-0.681640625,0.3612060546875,0.07177734375,-0.01,0.01,0.08,3.51,8.96,-1.86,29,1,3,3,2,0,160,534,2016-08-23 12:08:06.018,0.00798485675728655,-0.0042517831667838,0.00926314018157815,0,Relax,
1567026,12.9375,21,-101.75,-0.6322021484375,-0.68170166015625,0.3612060546875,0.07177734375,-0.05,0.02,0.05,3.51,8.96,-1.86,29,1,3,3,2,0,170,534,2016-08-23 12:08:06.118,0.00799757186141494,-0.00376658244634191,0.00960695436367999,0,Relax,
1567126,12.9375,21,-101.75,-0.63226318359375,-0.681640625,0.3612060546875,0.07177734375,-0.05,0.01,0.05,3.51,8.96,-1.86,29,1,3,3,2,0,180,534,2016-08-23 12:08:06.218,0.00736578635633211,-0.00405894437151598,0.0091430330533028,0,Relax,
1567236,12.9375,21,-101.6875,-0.63250732421875,-0.681396484375,0.3612060546875,0.0718994140625,0,0.04,-0.04,3.52,8.96,-1.85,29,1,3,3,2,0,190,535,2016-08-23 12:08:06.324,0.00816515302022256,-0.0046702011594392,0.00716465859261702,0,Relax,
1567336,12.9375,21,-101.625,-0.63275146484375,-0.68115234375,0.3612060546875,0.07196044921875,-0.03,0.01,0.03,3.52,8.96,-1.85,29,1,3,3,2,0,200,535,2016-08-23 12:08:06.424,0.00871683378246627,-0.00482222509539052,0.00771598616075288,0,Relax,
1567436,12.9375,21,-101.625,-0.6329345703125,-0.68096923828125,0.3612060546875,0.07208251953125,-0.01,0,0.04,3.52,8.96,-1.84,29,1,3,3,2,0,210,535,2016-08-23 12:08:06.524,0.00952232337543826,-0.00463713634055588,0.0074992937001314,0,Relax,
1567536,13,21,-101.5625,-0.63311767578125,-0.68084716796875,0.3612060546875,0.0721435546875,-0.01,0.07,0.04,3.52,8.96,-1.84,29,1,3,3,2,0,220,535,2016-08-23 12:08:06.624,0.0111284987484362,-0.00346874120497804,0.00751302196715898,0,Relax,
1567636,13.1875,20.875,-101.6875,-0.63232421875,-0.681396484375,0.36126708984375,0.07318115234375,0.02,0.21,0.06,3.5,8.96,-1.86,29,1,3,3,2,0,230,535,2016-08-23 12:08:06.724,0.0119378799193533,-0.000603740807766574,0.0132092126668069,0,Relax,
1567736,12.6875,20.9375,-103.125,-0.62359619140625,-0.6884765625,0.36370849609375,0.06964111328125,-0.27,-0.04,0.09,3.5,8.91,-2.08,29,1,3,3,2,0,240,535,2016-08-23 12:08:06.824,0.00567963463662552,-0.00588587454714965,0.0218617010958367,0,Relax,
1567836,12.25,21,-103.8125,-0.61944580078125,-0.6922607421875,0.36419677734375,0.066650390625,0.14,0.12,0.12,3.51,8.88,-2.19,29,1,3,3,2,0,250,535,2016-08-23 12:08:06.924,0.013467476638924,0.00218657690928235,0.00199169079105697,0,Relax,
1567936,12.5625,20.875,-104.0625,-0.6177978515625,-0.69305419921875,0.3651123046875,0.068115234375,0,0.03,-0.44,3.49,8.88,-2.22,29,1,3,3,2,0,260,535,2016-08-23 12:08:07.024,0.0136719272703128,-0.00422865370442093,0.0126911974713527,0,Relax,
1568036,13.0625,20.75,-103.9375,-0.61798095703125,-0.69183349609375,0.3665771484375,0.071044921875,-0.03,0.1,-0.03,3.47,8.89,-2.21,29,1,3,3,2,0,270,535,2016-08-23 12:08:07.124,0.00871275328979847,-0.00387771992604792,-0.00656296031759997,0,Relax,
1568136,13.9375,20.625,-103.25,-0.6217041015625,-0.6873779296875,0.36773681640625,0.0760498046875,0.01,0.06,0.3,3.45,8.93,-2.11,29,1,3,3,2,0,280,535,2016-08-23 12:08:07.224,0.00983266092994693,-0.0042795184801359,-0.00786606359066252,0,Relax,
